"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z061","2019-09-27 00:00:00","174.000","127.000","0.400","23.200","0.990","1001.400","","0.000","-99.000","-99.000","-99.000","31.700","","19.800",""
"C0M730","2019-09-27 00:00:00","40.000","0.000","0.000","25.800","-99.000","1010.900","","0.000","-99.000","-99.000","-99.000","34.400","","22.900",""
"C0U750","2019-09-27 00:00:00","398.000","29.000","5.200","21.600","1.000","973.100","","7.000","-99.000","-99.000","-99.000","22.600","","19.900",""
"C0A650","2019-09-27 00:00:00","287.000","31.000","1.800","22.400","0.990","985.800","","30.000","-99.000","-99.000","-99.000","24.000","","18.400",""
"C0K400","2019-09-27 00:00:00","65.000","0.000","0.000","24.800","0.990","1009.300","","0.000","-99.000","-99.000","-99.000","31.600","","21.800",""
"C0I370","2019-09-27 00:00:00","671.000","0.000","0.000","21.300","0.900","942.800","","0.000","-99.000","-99.000","-99.000","28.800","","18.600",""
"C0S750","2019-09-27 00:00:00","2280.000","268.000","1.200","10.200","0.970","779.500","","0.000","-99.000","-99.000","-99.000","19.100","","9.200",""
"C0R650","2019-09-27 00:00:00","29.000","43.000","0.800","25.000","0.910","1014.100","","0.000","-99.000","-99.000","-99.000","31.900","","24.300",""
"C0E740","2019-09-27 00:00:00","27.000","72.000","0.800","25.000","0.870","1012.800","","0.000","-99.000","-99.000","-99.000","30.400","","18.900",""
"C0AI20","2019-09-27 00:00:00","25.000","63.000","7.000","25.300","0.870","1015.400","","0.500","-99.000","-99.000","-99.000","25.500","","24.600",""
"C0E550","2019-09-27 00:00:00","84.000","0.000","0.100","22.600","0.990","1008.100","","0.000","-99.000","-99.000","-99.000","28.900","","18.800",""
"C0X060","2019-09-27 00:00:00","19.000","353.000","1.500","24.500","0.920","1015.800","","0.000","-99.000","-99.000","-99.000","32.000","","21.300",""
"C1R320","2019-09-27 00:00:00","7.000","-99.000","-99.000","-99.000","-99.000","-99.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R510","2019-09-27 00:00:00","31.000","74.000","0.500","26.100","0.830","1012.700","","0.000","-99.000","-99.000","-99.000","32.000","","25.000",""
"C0AC60","2019-09-27 00:00:00","55.000","86.000","0.700","24.600","0.970","1011.900","","1.000","-99.000","-99.000","-99.000","29.500","","23.500",""
"C0UA70","2019-09-27 00:00:00","547.000","55.000","7.700","21.000","0.990","957.900","","22.500","-99.000","-99.000","-99.000","22.200","","19.500",""
"C0G740","2019-09-27 00:00:00","24.000","24.000","1.400","25.100","0.870","1013.600","","0.000","-99.000","-99.000","-99.000","29.900","","21.900",""
"C0F9N0","2019-09-27 00:00:00","75.000","119.000","0.500","26.000","0.870","1007.600","","0.000","-99.000","-99.000","-99.000","32.100","","23.600",""
"C0F9T0","2019-09-27 00:00:00","111.000","328.000","1.200","24.500","0.890","1003.600","","0.000","-99.000","-99.000","-99.000","30.300","","22.300",""
"C0S710","2019-09-27 00:00:00","382.000","42.000","1.600","22.100","0.870","975.600","","0.000","-99.000","-99.000","-99.000","28.800","","19.000",""
"C0M680","2019-09-27 00:00:00","37.000","0.000","0.000","24.900","0.910","1013.600","","0.000","-99.000","-99.000","-99.000","32.200","","21.800",""
"C0X220","2019-09-27 00:00:00","26.000","185.000","1.100","25.000","0.890","1013.300","","0.000","-99.000","-99.000","-99.000","30.000","","22.500",""
"C0R560","2019-09-27 00:00:00","22.000","23.000","0.300","26.500","0.780","1013.900","","0.000","-99.000","-99.000","-99.000","30.900","","24.600",""
"C0F9P0","2019-09-27 00:00:00","26.000","34.000","3.100","24.700","0.880","1014.000","","0.000","-99.000","-99.000","-99.000","28.800","","22.000",""
"C0O970","2019-09-27 00:00:00","71.000","76.000","0.300","23.300","1.000","1008.600","","0.000","-99.000","-99.000","-99.000","32.900","","21.400",""
"C0F0B0","2019-09-27 00:00:00","311.000","0.000","0.200","23.400","0.960","981.300","","0.000","-99.000","-99.000","-99.000","29.100","","19.800",""
"C0R700","2019-09-27 00:00:00","19.000","-99.000","-99.000","-99.000","-99.000","-99.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R620","2019-09-27 00:00:00","34.000","32.000","4.200","27.000","0.820","1012.700","","0.000","-99.000","-99.000","-99.000","28.800","","25.300",""
"C0SA10","2019-09-27 00:00:00","411.000","359.000","1.000","22.100","0.950","971.200","","0.000","-99.000","-99.000","-99.000","30.500","","19.700",""
"C0M740","2019-09-27 00:00:00","15.000","0.000","0.200","25.100","0.890","1013.800","","0.000","-99.000","-99.000","-99.000","31.400","","21.400",""
"C0K460","2019-09-27 00:00:00","60.000","357.000","2.100","24.900","0.870","1008.400","","0.000","-99.000","-99.000","-99.000","31.700","","22.000",""
